"id","title","release_year","country","duration","language","certification","gross","budget"
3043,"Meet the Spartans",2008,"USA",86,"English","PG-13",38232624,30000000
3044,"Milk",2008,"USA",128,"English","R",31838002,20000000
3045,"Miracle at St. Anna",2008,"USA",160,"English","R",7916887,45000000
3046,"Mirrors",2008,"USA",112,"English","R",30691439,35000000
3047,"My Best Friend's Girl",2008,"USA",112,"English","R",19151864,40000000
3048,"Never Back Down",2008,"USA",110,"English","PG-13",24848292,20000000
3049,"Nick and Norah's Infinite Playlist",2008,"USA",90,"English","PG-13",31487293,9000000
3050,"Nim's Island",2008,"USA",96,"English","PG",48006503,37000000
3051,"No Man's Land: The Rise of Reeker",2008,"USA",88,"English","R",,2000000
3052,"One Missed Call",2008,"Japan",87,"English","PG-13",26876529,27000000
3053,"Ong-bak 2",2008,"Thailand",110,"Thai","R",102055,300000000
3054,"Over Her Dead Body",2008,"USA",95,"English","PG-13",7563670,10000000
3055,"Passchendaele",2008,"Canada",114,"English","R",,20000000
3056,"Pathology",2008,"USA",95,"English","R",108662,8000000
3057,"Pineapple Express",2008,"USA",117,"English","R",87341380,27000000
3058,"Pontypool",2008,"Canada",95,"English","Not Rated",3478,1500000
3059,"Ponyo",2008,"Japan",101,"Japanese","G",15081783,34000000
3060,"Pride and Glory",2008,"USA",130,"English","R",15709385,30000000
3061,"Prom Night",2008,"USA",89,"English","PG-13",43818159,20000000
3062,"Punisher: War Zone",2008,"USA",103,"English","R",7948159,35000000
3063,"Quantum of Solace",2008,"UK",106,"English","PG-13",168368427,200000000
3064,"Quarantine",2008,"USA",89,"English","R",31691811,12000000
3065,"Rachel Getting Married",2008,"USA",113,"English","R",12796277,
3066,"Red Cliff",2008,"China",150,"Mandarin","R",626809,553632000
3067,"Redbelt",2008,"USA",99,"English","R",2344847,7000000
3068,"Religulous",2008,"USA",101,"English","R",12995673,2500000
3069,"Repo! The Genetic Opera",2008,"USA",150,"English","R",140244,8500000
3070,"Revolutionary Road",2008,"USA",119,"English","R",22877808,35000000
3071,"Righteous Kill",2008,"USA",101,"English","R",40076438,60000000
3072,"Roadside Romeo",2008,"India",93,"Hindi","PG",55202,
3073,"RocknRolla",2008,"UK",114,"English","R",5694401,18000000
3074,"Role Models",2008,"Germany",101,"English","R",67266300,28000000
3075,"Saw V",2008,"USA",95,"English","R",56729973,10800000
3076,"Semi-Pro",2008,"USA",99,"English","R",33472850,55000000
3077,"Seven Pounds",2008,"USA",123,"English","PG-13",69951824,55000000
3078,"Sex Drive",2008,"USA",129,"English","R",8396942,19000000
3079,"Shine a Light",2008,"USA",122,"English","PG-13",5355376,
3080,"Shutter",2008,"USA",90,"English","PG-13",25926543,8000000
3081,"Sleep Dealer",2008,"USA",90,"Spanish","PG-13",75727,2500000
3082,"Slumdog Millionaire",2008,"UK",120,"English","R",141319195,15000000
3083,"Soul Men",2008,"USA",100,"English","R",12081447,
3084,"Space Chimps",2008,"USA",81,"English","G",30105968,37000000
3085,"Speed Racer",2008,"USA",135,"English","PG",43929341,120000000
3086,"Standard Operating Procedure",2008,"USA",118,"English","R",228830,
3087,"Stargate: The Ark of Truth",2008,"USA",97,"English",,,
3088,"Step Brothers",2008,"USA",106,"English","R",100468793,65000000
3089,"Step Up 2: The Streets",2008,"USA",98,"English","PG-13",58006147,23000000
3090,"Stop-Loss",2008,"USA",112,"English","R",10911750,25000000
3091,"Strange Wilderness",2008,"USA",87,"English","R",6563357,20000000
3092,"Street Kings",2008,"USA",109,"English","R",26415649,20000000
3093,"Sunday School Musical",2008,"USA",93,"English","G",,
3094,"Sunshine Cleaning",2008,"USA",91,"English","R",12055108,8000000
3095,"Superhero Movie",2008,"USA",82,"English","PG-13",25871834,35000000
3096,"Surfer, Dude",2008,"USA",85,"English","R",36497,6000000
3097,"Swing Vote",2008,"USA",120,"English","PG-13",16284360,21000000
3098,"Synecdoche, New York",2008,"USA",124,"English","R",3081925,21000000
3099,"Taken",2008,"France",93,"English","PG-13",145000989,25000000
3100,"The Baader Meinhof Complex",2008,"Germany",184,"German","R",476270,20000000
3101,"The Bank Job",2008,"UK",111,"English","R",30028592,20000000
3102,"The Betrayed",2008,"USA",98,"English",,,3500000
3103,"The Boy in the Striped Pajamas",2008,"UK",94,"English","PG-13",9030581,12500000
3104,"The Brothers Bloom",2008,"USA",114,"English","PG-13",3519627,20000000
3105,"The Children of Huang Shi",2008,"Australia",125,"English","R",1027749,40000000
3106,"The Chronicles of Narnia: Prince Caspian",2008,"USA",150,"English","PG",141614023,225000000
3107,"The Class",2008,"France",128,"French","PG-13",3766595,
3108,"The Cottage",2008,"UK",92,"English","Unrated",,2500000
3109,"The Curious Case of Benjamin Button",2008,"USA",166,"English","PG-13",127490802,150000000
3110,"The Dark Knight",2008,"USA",152,"English","PG-13",533316061,185000000
3111,"The Day the Earth Stood Still",2008,"USA",104,"English","PG-13",79363785,80000000
3112,"The Day the Earth Stood Still",2008,"USA",104,"English","PG-13",79363785,80000000
3113,"The Duchess",2008,"UK",110,"English","PG-13",13823741,13500000
3114,"The Express",2008,"USA",130,"English","PG",9589875,40000000
3115,"The Eye",2008,"USA",92,"English","PG-13",31397498,12000000
3116,"The Forbidden Kingdom",2008,"USA",104,"English","PG-13",25040293,55000000
3117,"The Good, the Bad, the Weird",2008,"South Korea",135,"Korean","R",128486,10000000
3118,"The Happening",2008,"USA",91,"English","R",64505912,48000000
3119,"The Haunting of Molly Hartley",2008,"USA",82,"English","PG-13",13350177,5000000
3120,"The House Bunny",2008,"USA",97,"English","PG-13",48237389,25000000
3121,"The Hurt Locker",2008,"USA",131,"English","R",15700000,15000000
3122,"The Incredible Hulk",2008,"USA",135,"English","PG-13",134518390,150000000
3123,"The Informers",2008,"Germany",98,"English","R",,18000000
3124,"The Longshots",2008,"USA",94,"English","PG",11508423,23000000
3125,"The Love Guru",2008,"USA",87,"English","PG-13",32178777,62000000
3126,"The Lucky Ones",2008,"USA",115,"English","R",183088,15000000
3127,"The Midnight Meat Train",2008,"USA",103,"English","R",73548,15000000
3128,"The Mummy: Tomb of the Dragon Emperor",2008,"USA",112,"English","PG-13",102176165,145000000
3129,"The Other Boleyn Girl",2008,"UK",115,"English","PG-13",26814957,35000000
3130,"The Other End of the Line",2008,"UK",106,"English","PG-13",115504,14000000
3131,"The Oxford Murders",2008,"Spain",104,"English","R",3607,10000000
3132,"The Pirates Who Don't Do Anything: A VeggieTales Movie",2008,"USA",85,"English","G",12701880,15000000
3133,"The Poker House",2008,"USA",93,"English","R",,
3134,"The Reader",2008,"USA",124,"English","R",34180954,32000000
3135,"The Rocker",2008,"USA",102,"English","PG-13",6409206,15000000
3136,"The Ruins",2008,"USA",93,"English","R",17427926,8000000
3137,"The Secret Life of Bees",2008,"USA",110,"English","PG-13",37766350,11000000
3138,"The Sisterhood of the Traveling Pants 2",2008,"USA",119,"English","PG-13",44087387,
3139,"The Spiderwick Chronicles",2008,"USA",107,"English","PG",71148699,90000000
3140,"The Spirit",2008,"USA",103,"English","PG-13",19781879,60000000
3141,"The Tale of Despereaux",2008,"UK",93,"English","G",50818750,60000000
3142,"The Wackness",2008,"USA",99,"English","R",2077046,6000000
3143,"The Wave",2008,"Germany",107,"German",,,5000000
3144,"The Women",2008,"USA",114,"English","PG-13",26896744,16500000
3145,"The Wrestler",2008,"USA",109,"English","R",26236603,6000000
3146,"The X Files: I Want to Believe",2008,"USA",108,"English","PG-13",20981633,30000000
3147,"The Yellow Handkerchief",2008,"USA",102,"English","PG-13",317040,15500000
3148,"Three Kingdoms: Resurrection of the Dragon",2008,"China",102,"Mandarin","R",,25000000
3149,"Train",2008,"USA",94,"English","R",,
3150,"Transsiberian",2008,"Spain",111,"English","R",2203641,15000000
3151,"Tropic Thunder",2008,"USA",121,"English","R",110416702,92000000
3152,"Trucker",2008,"USA",90,"English","R",52166,2000000
3153,"Twilight",2008,"USA",122,"English","PG-13",191449475,37000000
3154,"Twilight",2008,"USA",122,"English","PG-13",191449475,37000000
3155,"Two Lovers",2008,"USA",110,"English","R",3148482,12000000
3156,"Untraceable",2008,"USA",101,"English","R",28687835,35000000
3157,"Valkyrie",2008,"USA",121,"English","PG-13",83077470,75000000
3158,"Vantage Point",2008,"USA",90,"English","PG-13",72266306,40000000
3159,"Vicky Cristina Barcelona",2008,"Spain",96,"English","PG-13",23213577,15500000
3160,"W.",2008,"USA",129,"English","PG-13",25517500,25100000
3161,"WALL·E",2008,"USA",98,"English","G",223806889,180000000
3162,"Waltz with Bashir",2008,"Israel",90,"Hebrew","R",2283276,1500000
3163,"Wanted",2008,"USA",110,"English","R",134568845,75000000
3164,"War, Inc.",2008,"USA",107,"English","R",578527,10000000
3165,"Welcome Home, Roscoe Jenkins",2008,"USA",114,"English","PG-13",42168445,35000000
3166,"Welcome to the Sticks",2008,"France",106,"French",,,11000000
3167,"Wendy and Lucy",2008,"USA",80,"English","R",856942,200000
3168,"What Happens in Vegas",2008,"USA",101,"English","PG-13",80276912,35000000
3169,"What Just Happened",2008,"USA",104,"English","R",1089365,25000000
3170,"Winter in Wartime",2008,"Netherlands",103,"Dutch","R",542860,4000000
3171,"Witless Protection",2008,"USA",97,"English","PG-13",4131640,7500000
3172,"Yes Man",2008,"USA",104,"English","PG-13",97680195,70000000
3173,"Yesterday Was a Lie",2008,"USA",89,"English","PG",,2500000
3174,"You Don't Mess with the Zohan",2008,"USA",113,"English","PG-13",100018837,90000000
3175,"Zack and Miri Make a Porno",2008,"USA",101,"English","R",31452765,24000000
3176,"[Rec] 2",2009,"Spain",85,"Spanish","R",27024,5600000
3177,"12 Rounds",2009,"USA",108,"English","PG-13",12232937,22000000
3178,"16 to Life",2009,"USA",89,"English",,,1000000
3179,"17 Again",2009,"USA",102,"English","PG-13",64149837,20000000
3180,"2:13",2009,"USA",96,"English",,,3500000
3181,"2012",2009,"USA",158,"English","PG-13",166112167,200000000
3182,"500 Days of Summer",2009,"USA",95,"English","PG-13",32391374,7500000
3183,"9",2009,"USA",79,"English","PG-13",31743332,30000000
3184,"A Christmas Carol",2009,"USA",96,"English","PG",137850096,200000000
3185,"A Perfect Getaway",2009,"USA",108,"English","R",15483540,14000000
3186,"A Serious Man",2009,"USA",106,"English","R",9190525,7000000
3187,"A Shine of Rainbows",2009,"Canada",101,"English","PG",,6000000
3188,"A Single Man",2009,"USA",99,"English","R",9166863,7000000
3189,"A Woman, a Gun and a Noodle Shop",2009,"China",95,"Mandarin","R",190666,
3190,"A Woman, a Gun and a Noodle Shop",2009,"China",95,"Mandarin","R",190666,
3191,"Adam",2009,"USA",99,"English","PG-13",2277396,
3192,"Adventureland",2009,"USA",107,"English","R",16025394,
3193,"After.Life",2009,"USA",104,"English","R",108229,4500000
3194,"Agora",2009,"Spain",141,"English","R",617840,70000000
3195,"Ajami",2009,"Germany",124,"Arabic",,621240,
3196,"Aliens in the Attic",2009,"USA",86,"English","PG",25200412,45000000
3197,"All About Steve",2009,"USA",99,"English","PG-13",33860010,15000000
3198,"Alvin and the Chipmunks: The Squeakquel",2009,"USA",88,"English","PG",219613391,75000000
3199,"An Education",2009,"UK",100,"English","PG-13",12574715,4500000
3200,"Angels & Demons",2009,"USA",146,"English","PG-13",133375846,150000000
3201,"Armored",2009,"USA",88,"English","PG-13",15988876,27000000
3202,"Astro Boy",2009,"Hong Kong",94,"English","PG",19548064,65000000
3203,"Avatar",2009,"USA",178,"English","PG-13",760505847,237000000
3204,"Away We Go",2009,"USA",98,"English","R",9430988,17000000
3205,"B-Girl",2009,"USA",88,"English","PG-13",,
3206,"Bad Lieutenant: Port of Call New Orleans",2009,"USA",122,"English","R",1697956,20000000
3207,"Bandslam",2009,"USA",111,"English","PG",5205343,20000000
3208,"Black Water Transit",2009,"USA",,"English",,,23000000
3209,"Bled",2009,"USA",95,"English","R",,750000
3210,"Bodyguards and Assassins",2009,"China",139,"Mandarin",,,23000000
3211,"Bran Nue Dae",2009,"Australia",88,"English","PG-13",110029,6500000
3212,"Breaking Upwards",2009,"USA",88,"English",,76382,15000
3213,"Bride Wars",2009,"USA",89,"English","PG",58715510,30000000
3214,"Bright Star",2009,"UK",119,"English","PG",4440055,8500000
3215,"Brooklyn's Finest",2009,"USA",132,"English","R",27154426,17000000
3216,"Brothers",2009,"USA",105,"English","R",28501651,26000000
3217,"Brothers",2009,"USA",105,"English","R",28501651,26000000
3218,"Brüno",2009,"USA",81,"English","R",59992760,42000000
3219,"Capitalism: A Love Story",2009,"USA",105,"English","R",14359793,
3220,"Cargo",2009,"Switzerland",112,"German",,,4500000
3221,"Carriers",2009,"USA",84,"English","PG-13",90820,
3222,"Case 39",2009,"USA",109,"English","R",13248477,27000000
3223,"Chain Letter",2009,"USA",88,"English","R",143000,5000000
3224,"Chéri",2009,"UK",100,"English","R",2708188,23000000
3225,"Chicago Overcoat",2009,"USA",94,"English","R",,3000000
3226,"Chloe",2009,"USA",96,"English","R",3074838,11000000
3227,"Cirque du Freak: The Vampire's Assistant",2009,"USA",109,"English","PG-13",13838130,40000000
3228,"City Island",2009,"USA",104,"English","PG-13",6670712,6000000
3229,"City of Life and Death",2009,"China",132,"Mandarin","R",119922,12000000
3230,"Cloudy with a Chance of Meatballs",2009,"USA",90,"English","PG",124870275,100000000
3231,"Coco Before Chanel",2009,"France",111,"French","PG-13",6109075,19430000
3232,"Coraline",2009,"USA",100,"English","PG",75280058,60000000
3233,"Couples Retreat",2009,"USA",113,"English","PG-13",109176215,60000000
3234,"Crank: High Voltage",2009,"USA",96,"English","R",13630226,20000000
3235,"Crazy Heart",2009,"USA",112,"English","R",39462438,7000000
3236,"Crying with Laughter",2009,"UK",93,"English",,,
3237,"Dance Flick",2009,"USA",88,"English","PG-13",25615792,25000000
3238,"Daybreakers",2009,"Australia",98,"English","R",29975979,20000000
3239,"Dead Like Me: Life After Death",2009,"USA",87,"English","R",,5000000
3240,"Dead Snow",2009,"Norway",91,"Norwegian","Not Rated",41709,800000
3241,"Defendor",2009,"Canada",95,"English","R",37606,3500000
3242,"Did You Hear About the Morgans?",2009,"USA",103,"English","PG-13",29580087,58000000
3243,"District 9",2009,"South Africa",112,"English","R",115646235,30000000
3244,"Dogtooth",2009,"Greece",94,"Greek","Unrated",110197,
3245,"Don McKay",2009,"USA",87,"English","R",,
3246,"Down for Life",2009,"USA",92,"English","R",,
3247,"Down Terrace",2009,"UK",93,"English","R",9609,
3248,"Drag Me to Hell",2009,"USA",99,"English","PG-13",42057340,30000000
3249,"Dragonball: Evolution",2009,"USA",100,"English","PG",9353573,45000000
3250,"Duplicity",2009,"USA",125,"English","PG-13",40559930,60000000
3251,"Enter the Void",2009,"France",161,"English","Not Rated",336467,13000000
3252,"Everybody's Fine",2009,"USA",99,"English","PG-13",8855646,21000000
3253,"Exam",2009,"UK",101,"English","Not Rated",,
3254,"Extract",2009,"USA",92,"English","R",10814185,8000000
3255,"Fame",2009,"USA",123,"English","PG",22452209,18000000
3256,"Fantastic Mr. Fox",2009,"USA",87,"English","PG",20999103,40000000
3257,"Fish Tank",2009,"UK",123,"English","Not Rated",373060,
3258,"Flying By",2009,"USA",90,"English","PG-13",,
3259,"Forget Me Not",2009,"USA",103,"English","R",,1300000
3260,"Four Single Fathers",2009,"Italy",100,"Italian",,,3000000
3261,"Frat Party",2009,"USA",90,"English","R",,1000000
3262,"Funny People",2009,"USA",153,"English","R",51814190,75000000
3263,"G-Force",2009,"USA",88,"English","PG",119420252,150000000
3264,"G.I. Joe: The Rise of Cobra",2009,"USA",118,"English","PG-13",150167630,175000000
3265,"Gamer",2009,"USA",95,"English","R",20488579,50000000
3266,"Gentlemen Broncos",2009,"USA",89,"English","PG-13",113155,
3267,"Get Low",2009,"USA",100,"English","PG-13",9176553,7500000
3268,"Hachi: A Dog's Tale",2009,"USA",93,"English","G",,16000000
3269,"Halloween II",2009,"USA",119,"English","R",33386128,15000000
3270,"Halloween II",2009,"USA",119,"English","R",33386128,15000000
3271,"Hannah Montana: The Movie",2009,"USA",102,"English","G",79566871,30000000
3272,"Harry Brown",2009,"UK",97,"English","R",1818681,7300000
3273,"Harry Potter and the Half-Blood Prince",2009,"UK",153,"English","PG",301956980,250000000
3274,"He's Just Not That Into You",2009,"USA",129,"English","PG-13",93952276,40000000
3275,"Hotel for Dogs",2009,"USA",100,"English","PG",73023275,35000000
3276,"I Am Love",2009,"Italy",120,"Italian","R",5004648,10000000
3277,"I Can Do Bad All by Myself",2009,"USA",113,"English","PG-13",51697449,13000000
3278,"I Come with the Rain",2009,"France",114,"English","Not Rated",,18000000
3279,"I Hope They Serve Beer in Hell",2009,"USA",105,"English","R",1425993,
3280,"I Love You Phillip Morris",2009,"France",102,"English","R",2035566,13000000
3281,"I Love You, Beth Cooper",2009,"Canada",102,"English","PG-13",14793904,18000000
3282,"I Love You, Man",2009,"USA",105,"English","R",71347010,40000000
3283,"Ice Age: Dawn of the Dinosaurs",2009,"USA",94,"English","PG",196573705,90000000
3284,"Imagine That",2009,"USA",107,"English","PG",16088610,55000000
3285,"Inglourious Basterds",2009,"USA",153,"English","R",120523073,75000000
3286,"Ink",2009,"USA",107,"English",,,
3287,"Invictus",2009,"USA",134,"English","PG-13",37479778,60000000
3288,"It's Complicated",2009,"USA",120,"English","R",112703470,85000000
3289,"Jennifer's Body",2009,"USA",107,"English","R",16204793,16000000
3290,"Julie & Julia",2009,"USA",123,"English","PG-13",94125426,40000000
3291,"Knowing",2009,"USA",121,"English","PG-13",79948113,50000000
3292,"Land of the Lost",2009,"USA",102,"English","PG-13",49392095,100000000
3293,"Law Abiding Citizen",2009,"USA",118,"English","R",73343413,50000000
3294,"Life During Wartime",2009,"USA",98,"English","R",278821,
